"","UserID","First_TransDate_Ca","Total_Stakes_Ca","Max_Stakes_Ca","Mean_Stakes_Ca","Total_Winnings_Ca","Max_Winnings_Ca","Mean_Winnings_Ca","Total_Bets_Ca","Length_Play_Ca","LastDay_Ca","No_Days_Played_Ca","No_Months_Played_Ca","Most_Played_Month_Ca","MostPlayed_Day_Ca","Stakes_Last_Day_Ca","Winnings_Last_Day_Ca","Bets_Last_Day_Ca","Profit_Ca"
"3734",1372361,2005-02-21,2246,1727,561.5,2024,1537.5,506,611,3,2005-02-24,4,1,"2","Monday",151,142,51,222
"3735",1372365,2005-02-21,26,23,13,20,19,10,26,1,2005-02-22,2,1,"2","Monday",3,1,3,6
"3736",1372390,2005-06-08,15977.9,5315,1331.5,14724.5,5555,1227,935,62,2005-08-09,12,3,"6","Friday",15,5,3,1253.4
"3737",1372401,2005-06-06,3247.2,1507,203,2963,1427,185.2,45,114,2005-09-28,16,3,"6","Monday",0,0,1,284.2
"3738",1372426,2005-07-06,2461.8,875.97,307.7,2330.2,880.64,291.3,3958,43,2005-08-18,8,2,"7","Thursday",665.24,590.72,820,131.6
"3739",1372439,2005-02-19,139.3,139.2337,69.6,112.2,112.2,56.1,11,1,2005-02-20,2,1,"2","Saturday",0.03,0,6,27.1
"3740",1372456,2005-02-22,5,5,5,0,0,0,5,0,2005-02-22,1,1,"2","Tuesday",5,0,5,5
"3741",1372462,2005-04-12,17732,3881.28,591.1,17247.5,3627.24,574.9,6103,137,2005-08-27,23,4,"4","Sunday",167,157.5,2,484.5
"3742",1372477,2005-02-20,7461.5,1007,114.8,7105,1143.5,109.3,1990,216,2005-09-24,64,8,"6","Thursday",126,122,56,356.5
"3743",1372499,2005-07-01,583,406,145.8,483,376,120.8,957,14,2005-07-15,4,1,"7","Friday",50,30,56,100
"3744",1372502,2005-03-05,10,9.97,10,7.6,7.56,7.6,24,0,2005-03-05,1,1,"3","Saturday",9.97,7.56,24,2.4
"3745",1372532,2005-05-02,61.5,60.5,30.8,54.5,54.5,27.2,242,1,2005-05-03,2,1,"5","Monday",1,0,4,7
"3746",1372534,2005-08-30,12.5,11.5,6.2,7,7,3.5,3,1,2005-08-31,2,1,"8","Tuesday",1,0,1,5.5
"3747",1372542,2005-02-19,58833,11607.9482,744.7,56071,11770.55,709.8,2282,186,2005-08-24,74,7,"5","Tuesday",79,70.5,1,2762
"3748",1372548,2005-05-08,150,102,50,90.5,72.5,30.2,11,35,2005-06-12,3,2,"6","Sunday",102,72.5,3,59.5
"3749",1372590,2005-02-19,97,47,32.3,77,38,25.7,5,8,2005-02-27,3,1,"2","Sunday",14,5,1,20
"3750",1372599,2005-02-23,2750.8,784.75,550.1,2333.2,636.5,466.6,182,98,2005-06-01,5,3,"2","Wednesday",646,636.5,48,417.6
"3751",1372612,2005-04-03,184,52,30.7,166.5,55.5,27.8,186,5,2005-04-08,6,1,"4","Friday",10,6.5,10,17.5
"3752",1372640,2005-02-19,250,210,125,235,190,117.5,26,1,2005-02-20,2,1,"2","Saturday",40,45,4,15
"3753",1372647,2005-02-23,13023.6,5534.3476,620.2,11570.2,5400.4,551,1225,194,2005-09-05,16,4,"8","Friday",461.3951,263,13,1453.4
"3754",1372657,2005-02-19,210,210,210,150,150,150,17,0,2005-02-19,1,1,"2","Saturday",210,150,17,60
"3755",1372660,2005-02-19,1297,994,648.5,1252,953,626,4,1,2005-02-20,2,1,"2","Saturday",303,299,2,45
"3756",1372667,2005-02-27,324.5,145,108.2,219,105,73,4,28,2005-03-27,3,2,"3","Sunday",114,48,1,105.5
"3757",1372681,2005-08-30,2573,1199,428.8,2541,1284,423.5,27,8,2005-09-07,6,2,"9","Wednesday",0,0,1,32
"3758",1372723,2005-03-11,120.2,70,30.1,79.2,40,19.8,169,185,2005-09-12,4,2,"3","Monday",70,40,7,41
"3759",1372728,2005-05-22,13.5,13.5,13.5,16,16,16,3,0,2005-05-22,1,1,"5","Sunday",13.5,16,3,-2.5
"3760",1372734,2005-02-19,628,327,209.3,558,287.75,186,355,14,2005-03-05,3,2,"2","Saturday",44.5,24.5,35,70
"3761",1372748,2005-02-23,0,0,0,0,0,0,4,198,2005-09-09,2,2,"2","Friday",0,0,3,0
"3762",1372750,2005-02-23,0,0,0,0,0,0,3,11,2005-03-06,2,2,"2","Sunday",0,0,1,0
"3763",1372758,2005-09-30,3,3,3,0,0,0,3,0,2005-09-30,1,1,"9","Friday",3,0,3,3
"3764",1372774,2005-02-19,5900,4700,2950,6050,4600,3025,5,1,2005-02-20,2,1,"2","Saturday",1200,1450,1,-150
"3765",1372782,2005-02-19,386,125,48.2,353,110,44.1,65,195,2005-09-02,8,3,"2","Friday",87,70,13,33
"3766",1372798,2005-02-26,1506,533,376.5,1424,483,356,920,69,2005-05-06,4,2,"2","Friday",533,472.5,253,82
"3767",1372813,2005-03-01,1051.5,880.5,262.9,911,781,227.8,192,70,2005-05-10,4,2,"3","Tuesday",85,70,13,140.5
"3768",1372823,2005-02-25,593.5,214.5,74.2,724,495,90.5,472,27,2005-03-24,8,2,"3","Saturday",21,6,21,-130.5
"3769",1372829,2005-04-23,633.5,603.5,316.8,473.5,453.5,236.8,227,3,2005-04-26,2,1,"4","Saturday",30,20,6,160
"3770",1372830,2005-05-11,0,0,0,0,0,0,10,1,2005-05-12,2,1,"5","Thursday",0,0,1,0
"3771",1372849,2005-03-21,33778.4,7041,244.8,32349.8,6886.7542,234.4,2019,193,2005-09-30,136,7,"8","Friday",0,0,4,1428.6
"3772",1372855,2005-09-13,133.3,80.19,26.7,117.3,74.56,23.5,1830,16,2005-09-29,5,1,"9","Tuesday",16.4,14.33,338,16
"3773",1372862,2005-03-08,370,153.75,123.3,340,183.75,113.3,290,8,2005-03-16,3,1,"3","Thursday",77.5,57.5,62,30
"3774",1372872,2005-04-02,46.6,46.59,46.6,40.6,40.59,40.6,49,0,2005-04-02,1,1,"4","Saturday",46.59,40.59,49,6
"3775",1372885,2005-02-19,21,21,21,23.5,23.5,23.5,3,0,2005-02-19,1,1,"2","Saturday",21,23.5,3,-2.5
"3776",1372904,2005-02-25,53790.5,16880,4482.5,53336.5,16060,4444.7,3289,36,2005-04-02,12,3,"3","Saturday",525.5,485,95,454
"3777",1372906,2005-02-20,5857.3,1795.1934,488.1,4638.7,1455.3119,386.6,1151,104,2005-06-04,11,5,"3","Sunday",832,612,720,1218.6
"3778",1372915,2005-02-20,136522.6,37516,3250.5,133872.1,48352.75,3187.4,816,189,2005-08-28,41,7,"5","Friday",986.5,656.5,2,2650.5
"3779",1372921,2005-09-07,12,12,12,4,4,4,8,0,2005-09-07,1,1,"9","Wednesday",12,4,8,8
"3780",1372932,2005-08-20,0,0,0,5,5,5,1,0,2005-08-20,1,1,"8","Saturday",0,5,1,-5
"3781",1372936,2005-02-20,6574,5980,3287,5880,5580,2940,4,100,2005-05-31,2,2,"2","Sunday",5980,5580,2,694
"3782",1372944,2005-02-20,16124.5,4562.5,1240.3,15395,4723.5,1184.2,2337,175,2005-08-14,13,5,"3","Sunday",135,94,76,729.5
"3783",1372947,2005-02-21,2253,446.25,90.1,1973.5,417,78.9,170,34,2005-03-27,25,2,"3","Sunday",0,0,2,279.5
"3784",1372958,2005-02-28,1471.7,644.15,210.2,1355.2,597,193.6,53,21,2005-03-21,7,2,"3","Monday",100.099,86.15,11,116.5
"3785",1372959,2005-02-20,3351.5,1395.5,257.8,3214,1167,247.2,941,16,2005-03-08,13,2,"3","Sunday",1395.5,1167,206,137.5
"3786",1372985,2005-02-20,3115.7,541.25,61.1,3002.2,572.75,58.9,433,222,2005-09-30,48,7,"6","Saturday",0,0,3,113.5
"3787",1372988,2005-02-23,2234.5,546.34,139.7,2161.2,530.77,135.1,10360,15,2005-03-10,16,2,"3","Thursday",326.6,300.02,919,73.3000000000002
"3788",1373001,2005-07-12,26.5,26.5,26.5,25.5,25.5,25.5,83,0,2005-07-12,1,1,"7","Tuesday",26.5,25.5,83,1
"3789",1373011,2005-02-22,9814.5,3749.5,1962.9,9884.5,3729.5,1976.9,4348,6,2005-02-28,5,1,"2","Monday",2382,2304.5,1018,-70
