"","UserID","First_TransDate_Po","Last_TransDate_Po","No_Months_Played_Po","Most_Played_Month_Po","Most_Played_Day_Po","No_Days_Played_Po","Total_Amount_Sold","Total_Amount_Bought","Mean_Amount_Sold","Mean_Amount_Bought","Max_Amount_Sold","Max_Amount_Bought","Amount_Sold_Last_Day","Amount_Bought_Last_Day","Profit_Po"
"1",1324355,2005-06-12,2005-06-15,1,"6","Sunday",3,30.8295,8.2593,5.13825,4.12965,8.9999,6.4524,0,6.4524,-22.5702
"2",1324368,2005-04-05,2005-05-30,2,"4","Sunday",23,9161.6582,9620.8147,136.741167164179,300.650459375,494.9999,805.2394,0,0.005,459.156500000001
"3",1324369,2005-03-03,2005-03-03,1,"3","Thursday",1,0.29494552058997,0.29494552058997,0.29494552058997,0.29494552058997,0.29494552058997,0.29494552058997,0.29494552058997,0.29494552058997,0
"4",1324371,2005-02-01,2005-02-10,1,"2","Tuesday",4,122.632618511432,65.3674456192263,24.5265237022864,13.0734891238453,28.8683503492494,23.3915147666859,18.8913794426674,0.468104705600462,-57.2651728922055
"5",1324372,2005-09-02,2005-09-30,1,"9","Friday",26,786.200447000326,848.453002184777,6.9575260796489,7.9294673101381,13.8117576153286,25.2518520378695,33.1482383666909,35.3438889028402,62.2525551844504
"6",1324377,2005-02-01,2005-02-03,1,"2","Tuesday",2,27.5521477339928,12.9949061878394,5.51042954679856,6.49745309391968,6.72005537336702,6.72005537336702,10.0800628998441,0,-14.5572415461534
"7",1324379,2005-04-20,2005-04-20,1,"4","Wednesday",1,0.96,0.8828,0.96,0.8828,0.96,0.8828,0.96,0.8828,-0.0771999999999999
"8",1324383,2005-02-03,2005-07-06,5,"5","Thursday",21,12102.9697348092,12223.0997000732,198.409339914905,359.502932355094,378.937678413539,4198.09157500154,1419.43129044538,1229.14420758787,120.129965264005
"9",1324391,2005-02-01,2005-02-23,1,"2","Thursday",3,53.2228106015805,0.0179291435944304,17.7409368671935,0.00597638119814347,26.342642868663,0.00645126606096446,13.4400838664588,0.00645126606096446,-53.2048814579861
"10",1324418,2005-04-11,2005-04-11,1,"4","Monday",1,0.434987267544362,0,0.434987267544362,NA,0.434987267544362,-Inf,0.434987267544362,0,-0.434987267544362
"11",1324437,2005-08-27,2005-09-19,2,"9","Saturday",3,21.1127378999159,22.1282367697291,5.27818447497897,7.37607892324305,6.00484339686543,12.0096867936708,6.00484339686543,7.02034226673872,1.01549886981325
"12",1324445,2005-02-06,2005-02-06,1,"2","Sunday",1,47.0403741734315,20.3726815762593,11.7600935433579,10.1863407881297,20.1602064405139,20.1711063921295,47.0403741734315,20.3726815762593,-26.6676925971722
"13",1324446,2005-02-03,2005-02-14,1,"2","Friday",9,74.2081830045612,38.414907499769,3.90569384234533,5.48784392853844,7.5057188915127,13.0498196054272,9.23773700779445,0,-35.7932755047921
"14",1324466,2005-06-16,2005-06-30,1,"6","Saturday",10,120.4381,108.7315,5.23643913043478,4.72745652173913,9.9999,14.9886,0.79,0.79,-11.7066
"15",1324500,2005-02-01,2005-02-01,1,"2","Tuesday",1,250,27.8929,125,27.8929,200,27.8929,250,27.8929,-222.1071
"16",1324509,2005-02-01,2005-02-01,1,"2","Tuesday",1,24.5953577764636,0,12.2976788882318,NA,13.4400973065964,-Inf,24.5953577764636,0,-24.5953577764636
"17",1324573,2005-06-13,2005-06-14,1,"6","Monday",2,1.05691701504012,0.239128345586468,0.352305671680041,0.239128345586468,0.696674835423573,0.239128345586468,0.120056700783239,0.239128345586468,-0.817788669453653
"18",1324602,2005-02-01,2005-02-06,1,"2","Saturday",3,82.7494489543573,42.6727057685071,16.5498897908715,8.53454115370141,22.3105881404226,22.3398338798989,0.243266491048868,0.243266491048868,-40.0767431858502
"19",1324617,2005-02-02,2005-02-02,1,"2","Wednesday",1,10.9956237286272,0.248710759250095,10.9956237286272,0.248710759250095,10.9956237286272,0.248710759250095,10.9956237286272,0.248710759250095,-10.7469129693771
"20",1324675,2005-02-01,2005-02-01,1,"2","Tuesday",1,40.320372560615,30.3595908822106,40.320372560615,30.3595908822106,40.320372560615,30.3595908822106,40.320372560615,30.3595908822106,-9.96078167840439
"21",1324724,2005-02-01,2005-09-30,7,"9","Wednesday",151,12175.7328851928,10334.7185781044,26.7598524949291,29.869128838452,67.2006881350465,260.457699543133,160.892295934785,141.438016196503,-1841.01430708837
"22",1324742,2005-02-01,2005-09-30,7,"4","Tuesday",147,224973.285015992,229050.208388583,833.234388948117,857.865949020909,2058.23190157682,2107.79109110454,991.107918588438,969.82120830205,4076.92337259115
"23",1324785,2005-06-23,2005-09-30,3,"6","Saturday",9,442.575011236892,398.560128879575,20.1170459653133,19.9280064439787,33.4727674190676,42.0968269545129,12.7963351630937,8.03624475301747,-44.0148823573167
"24",1324820,2005-07-21,2005-09-24,3,"8","Monday",31,9393.1682,5767.7922,123.594318421053,96.12987,400.97,575.9163,102.08,2.3464,-3625.376
"25",1324851,2005-03-08,2005-03-09,1,"3","Wednesday",2,45.4178312281644,24.2313894114485,15.1392770760548,8.07712980381616,20.1558720773985,12.5892905133028,25.2619591507659,11.6420988981456,-21.1864418167159
"26",1324854,2005-05-20,2005-09-24,5,"6","Saturday",54,922.84138398764,870.79819788317,10.9862069522338,11.1640794600406,17.5053938730853,30.0874179431072,10.7152102866327,8.65676935440662,-52.0431861044696
"27",1324858,2005-02-01,2005-09-18,5,"2","Wednesday",34,8002.8055,2947.5342,80.028055,49.12557,313.9999,241.4538,212.36,94.7542,-5055.2713
"28",1324861,2005-03-14,2005-07-12,3,"7","Monday",18,1593.97929948081,870.438403394115,18.9759440414382,18.9225739868286,58.9970490315044,90.5470340034697,69.807727310347,63.7910151402107,-723.540896086695
"29",1324958,2005-02-01,2005-04-15,3,"2","Tuesday",41,11476.2696259808,4108.12822788917,182.163009936203,124.48873417846,531.676826915657,531.676826915657,254.649278493711,0,-7368.14139809161
"30",1324991,2005-02-02,2005-03-22,2,"2","Monday",4,140.566576035603,65.9054257259662,20.0809394336576,16.4763564314916,28.8683503492494,29.7179703692263,29.4984866828318,12.0953389830678,-74.661150309637
"31",1325011,2005-02-01,2005-02-02,1,"2","Tuesday",2,20.8321461211763,0,10.4160730605881,NA,20.1601526799634,-Inf,0.671993441212838,0,-20.8321461211763
"32",1325106,2005-02-01,2005-09-26,7,"4","Monday",113,7407.25201937701,7804.14280046251,20.6330139815516,22.2340250725428,84.5384387936132,191.909117789366,52.9601925345919,60.1001689370375,396.890781085498
"33",1325126,2005-07-05,2005-07-24,1,"7","Friday",8,188.9299,115.7401,11.80811875,8.90308461538462,20,20,11.65,5.3,-73.1898
"34",1325154,2005-02-01,2005-09-28,8,"2","Wednesday",88,22505.9927,14358.4872,114.243617766497,113.956247619048,451.9999,650.3732,699,320.8111,-8147.5055
"35",1325170,2005-02-01,2005-02-28,1,"2","Tuesday",5,74.8989301650449,52.8304661039729,14.979786033009,10.5660932207946,21.465190043546,19.699626364174,17.606513090694,11.8492419762378,-22.068464061072
"36",1325189,2005-02-19,2005-06-25,5,"3","Sunday",89,32000.4475,30598.1987,105.612037953795,111.266177090909,635.4399,628.4949,82.29,42.9704,-1402.2488
"37",1325199,2005-02-03,2005-02-26,1,"2","Saturday",3,59.5341782699855,32.6669130691898,14.8835445674964,8.16672826729746,15.3646981345089,15.3646981345089,15.3646981345089,0.0119751626256653,-26.8672652007957
"38",1325200,2005-07-25,2005-07-25,1,"7","Monday",1,8.67402994950434,8.67402994950434,8.67402994950434,8.67402994950434,8.67402994950434,8.67402994950434,8.67402994950434,8.67402994950434,0
"39",1325219,2005-02-01,2005-09-11,6,"2","Sunday",27,425.687566206814,245.878684738613,9.67471741379124,7.45086923450343,16.9788989839256,25.758037202301,15.5528799742572,8.28778290249921,-179.808881468201
