"","UserID","First_TransDate_Ga","Total_Stakes_Ga","Max_Stakes_Ga","Mean_Stakes_Ga","Total_Winnings_Ga","Max_Winnings_Ga","Mean_Winnings_Ga","Total_Bets_Ga","Length_Play_Ga","LastDay_Ga","No_Days_Played_Ga","No_Months_Played_Ga","Most_Played_Month_Ga","MostPlayed_Day_Ga","Stakes_Last_Day_Ga","Winnings_Last_Day_Ga","Bets_Last_Day_Ga","Profit_Ga"
"3607",1399865,2005-07-19,10.7,10.7375,10.7,9.8,9.7582,9.8,11,0,2005-07-19,1,1,"7","Tuesday",10.7375,9.7582,11,0.899999999999999
"3608",1399873,2005-04-10,19632.4,2560.5,727.1,19086.8,3931,706.9,7722,90,2005-07-09,21,4,"5","Saturday",68,17.5,14,545.600000000002
"3609",1399903,2005-06-18,1686.9,1178.94,210.9,1554.9,1062.4,194.4,1038,23,2005-07-11,6,2,"6","Saturday",66.5,47.875,62,132
"3610",1400001,2005-03-27,30,30,30,11,11,11,41,0,2005-03-27,1,1,"3","Sunday",30,11,41,19
"3611",1400053,2005-03-03,40.5,15,8.1,21.5,10,4.3,42,156,2005-08-06,4,3,"3","Thursday",6,3,6,19
"3612",1400063,2005-02-27,195.5,97.5,39.1,167.5,96.225,33.5,155,2,2005-03-01,3,2,"2","Monday",85,65.25,48,28
"3613",1400065,2005-09-14,1,1,1,0,0,0,1,0,2005-09-14,1,1,"9","Wednesday",1,0,1,1
"3614",1400102,2005-03-02,10.1,8.5778,3.4,9.7,7.097,3.2,16,119,2005-06-29,3,2,"3","Wednesday",0.961,1.7178,1,0.4
"3615",1400103,2005-03-02,262.4,176.35,52.5,227.9,155.35,45.6,89,208,2005-09-26,5,3,"9","Friday",176.35,155.35,48,34.5
"3616",1400120,2005-05-29,299,298.99,299,253.6,253.64,253.6,78,0,2005-05-29,1,1,"5","Sunday",298.99,253.64,78,45.4
"3617",1400181,2005-02-27,582.8,136,58.3,220.3,82.35,22,124,44,2005-04-12,8,3,"2","Monday",13.4228,2.4368,3,362.5
"3618",1400214,2005-02-28,0.5,0.5,0.5,0.4,0.4125,0.4,1,0,2005-02-28,1,1,"2","Monday",0.5,0.4125,1,0.1
"3619",1400252,2005-03-02,56,28,18.7,38,22,12.7,100,4,2005-03-06,2,1,"3","Wednesday",28,22,56,18
"3620",1400262,2005-03-02,652.5,178,20.4,593.3,144.91,18.5,423,185,2005-09-03,29,6,"4","Friday",5.4,4.455,1,59.2
"3621",1400293,2005-02-27,2389.8,222.5,39.2,1951.8,169.75,32,3749,69,2005-05-07,47,4,"3","Sunday",12.75,9.75,9,438
"3622",1400307,2005-09-16,2,2,2,1,1,1,2,0,2005-09-16,1,1,"9","Friday",2,1,2,1
"3623",1400319,2005-06-03,934.4,745.6723,311.5,834.9,593.5862,278.3,96,14,2005-06-17,2,1,"6","Friday",787.1723,664.9862,62,99.5
"3624",1400323,2005-03-01,21.8,6.4,3.1,18,5.28,2.6,7,30,2005-03-31,7,1,"3","Monday",3.2,2.64,1,3.8
"3625",1400324,2005-03-22,1,1,1,0,0,0,2,0,2005-03-22,1,1,"3","Tuesday",1,0,2,1
"3626",1400325,2005-09-04,86.3,86.33,86.3,66.4,66.37,66.4,24,0,2005-09-04,1,1,"9","Sunday",86.33,66.37,24,19.9
"3627",1400332,2005-02-28,55,34,18.3,18.1,17.14,6,35,14,2005-03-14,2,2,"3","Monday",42,17.14,30,36.9
"3628",1400346,2005-05-15,5,5,5,0,0,0,2,0,2005-05-15,1,1,"5","Sunday",5,0,2,5
"3629",1400347,2005-02-27,82,32,20.5,56.6,27.3,14.2,68,4,2005-03-03,3,2,"2","Thursday",38,27.3,26,25.4
"3630",1400373,2005-03-24,2.8,0.8,0.4,2.4,0.66,0.3,7,46,2005-05-09,7,3,"3","Monday",0.5,0.4125,1,0.4
"3631",1400375,2005-04-13,0.1,0.1,0.1,0.1,0.0925,0.1,1,0,2005-04-13,1,1,"4","Wednesday",0.1,0.0925,1,0
"3632",1400380,2005-03-03,41,26,10.2,36.8,21.65,9.2,40,35,2005-04-07,4,2,"3","Thursday",10.5,13.17,9,4.2
"3633",1400421,2005-02-27,7,6,2.3,5.8,4.95,1.9,3,99,2005-06-06,3,2,"6","Sunday",6,4.95,1,1.2
"3634",1400425,2005-03-14,184.3,56,8.4,154,60.6,7,162,97,2005-06-19,16,4,"3","Monday",15,0,4,30.3
"3635",1400502,2005-03-15,24.7,22.5,8.2,7.5,5.65,2.5,15,53,2005-05-07,3,3,"3","Friday",22.5,5.65,12,17.2
"3636",1400513,2005-03-03,31.2,10.8351,1.2,22.2,5.6754,0.9,54,184,2005-09-03,21,6,"3","Thursday",1.2,0.99,1,9
