Country,CountryName,lon,lat
608,Philippines,121.774017,12.879721
612,Pitcairn,-128.3242376,-24.3767537
616,Poland,19.145136,51.919438
620,Portugal,-8.224454,39.399872
624,Guinea-Bissau,-15.180413,11.803749
626,East Timor,125.727539,-8.874217
630,Puerto Rico,-66.590149,18.220833
634,Qatar,51.183884,25.354826
638,Reunion,55.536384,-21.115141
642,Romania,24.96676,45.943161
643,Russian Federation,105.318756,61.52401
646,Rwanda,29.873888,-1.940278
654,St. Helena,-5.7089241,-15.9650104
659,Saint Kitts and Nevis,-62.782998,17.357822
660,Anguilla,-63.068615,18.220554
662,St. Lucia,-60.978893,13.909444
666,St. Pierre and Miquelon,-56.3159,46.8852
670,Saint Vincent and the Grenadines,-61.287228,12.984305
674,San Marino,12.457777,43.94236
678,Sao Tome and Principe,6.613081,0.18636
682,Saudi Arabia,45.079162,23.885942
686,Senegal,-14.452362,14.497401
690,Seychelles,55.491977,-4.679574
694,Sierra Leone,-11.779889,8.460555
702,Singapore,103.819836,1.352083
703,Slovakia,19.699024,48.669026
704,Vietnam,108.277199,14.058324
705,Slovenia,14.995463,46.151241
706,Somalia,46.199616,5.152149
710,South Africa,22.937506,-30.559482
716,Zimbabwe,29.154857,-19.015438
724,Spain,-3.74922,40.463667
732,Western Sahara,-12.885834,24.215527
736,Sudan,30.217636,12.862807
740,Suriname,-56.027783,3.919305
744,Svalbard and Jan Mayen Islands,23.6702719,77.553604
748,Swaziland,31.465866,-26.522503
752,Sweden,18.643501,60.128161
756,Switzerland,8.227512,46.818188
760,Syria,38.996815,34.802075
762,Tajikistan,71.276093,38.861034
764,Thailand,100.992541,15.870032
768,Togo,0.824782,8.619543
772,Tokelau,-171.8484,-9.2002
776,Tonga,-175.198242,-21.178986
780,Trinidad and Tobago,-61.222503,10.691803
784,United Arab Emirates,53.847818,23.424076
788,Tunesia,9.537499,33.886917
792,Turkey,35.243322,38.963745
795,Turkmenistan,59.556278,38.969719
796,Turks and Caicos Islands,-71.797928,21.694025
798,Tuvalu,177.64933,-7.109535
800,Uganda,32.290275,1.373333
804,Ukraine,31.1655799,48.379433
807,FYR Macedonia,21.745275,41.608635
818,Egypt,30.802498,26.820553
826,United Kingdom,-3.435973,55.378051
834,Tanzania,34.888822,-6.369028
840,USA,-95.712891,37.09024
850,United States Virgin Islands,-64.896335,18.335765
854,Burkina Faso,-1.561593,12.238333
858,Uruguay,-55.765835,-32.522779
860,Uzbekistan,64.585262,41.377491
862,Venezuela,-66.58973,6.42375
876,Wallis and Futuna Islands,-178.1165,-14.2938
882,Samoa (Independent),-172.104629,-13.759029
887,Yemen,48.516388,15.552727
891,Serbia and Montenegro,20.463355,44.812029
894,Zambia,27.849332,-13.133897
895,Diego Garcia,72.4228556,-7.3195005
896,Ascension,-90.6860045,40.4665467
897,Australian overseas territories,133.775136,-25.274398
898,Tokelau,-171.8484,-9.2002
1000,Undefined,-84.3644884,33.7600586
