,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
10,Publiée il y a plus de 1 mois | Modifiée le 13 déc. 2019 | Réf. de l’annonce : 27657865,Tourcoing 59200,En cours de réalisation,NA,En cours de réalisation,NA,1 340 €/m²,"['Prix\u202f: 335 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '250 m²', '6 pièces', '5 chambres', '1 terrasse', 'Jardin de 100 m²', 'Chauffage : GAZ', '1 cave', '2 salles de bain', '1 parking extérieur', 'Rez-de-chaussée', 'Mandat en exclusivité', 'Réf. de l’annonce : 27657865', 'Publiée il y a plus de 1 mois', 'Modifiée le 13 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
11,Publiée le 23 nov. 2019 | Modifiée le 5 déc. 2019 | Réf. de l’annonce : VM23878-IMMOTRAM2,Tourcoing 59200,175,D,30,D,1 460 €/m²,"['Prix\u202f: 380 000 €, honoraires : 4,11% TTC inclus à la charge de l’acquéreur (365 000 € hors honoraires)', 'Estimez votre mensualité', '250 m²', '7 pièces', '6 chambres', 'Terrasse', 'Exposé Ouest', 'Chauffage : gaz', 'Cave', '3 salles de bain', '1 WC', '2 étages', 'Réf. de l’annonce : VM23878-IMMOTRAM2', 'Publiée le 23 nov. 2019', 'Modifiée le 5 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
12,Publiée le 5 nov. 2019 | Modifiée le 13 déc. 2019 | Réf. de l’annonce : 97571MX2220,Roubaix 59100,154,D,,D,903 €/m²,"['Prix\u202f: 224 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '248 m²', '24 m² de terrain', '9 pièces', '4 chambres', 'Jardin', '1 salle de bain', '1 salle d’eau', '3 WC', '2 places de parking', '2 étages', 'Réf. de l’annonce : 97571MX2220', 'Publiée le 5 nov. 2019', 'Modifiée le 13 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
13,Publiée il y a plus de 1 mois | Modifiée le 17 déc. 2019 | Réf. de l’annonce : 1VDU10000030,Roubaix 59100 (Hommelet),254,E,19,C,1 313 €/m²,"['288 750 €', 'Estimez votre mensualité', '220 m²', '8 pièces', '4 chambres', 'Exposé Nord Est Ouest', 'Chauffage : radiateur électrique individuel', 'Duplex', 'Alarme', 'Aménagement pour Handicapés', '1 box', 'Ascenseur', 'Interphone', 'Mandat en exclusivité', 'Réf. de l’annonce : 1VDU10000030', 'Publiée il y a plus de 1 mois', 'Modifiée le 17 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
14,Publiée il y a plus de 1 mois | Réf. de l’annonce : VM23718-IMMOTRAM2,Roubaix 59100,34,A,165,G,1 868 €/m²,"['Prix\u202f: 429 000 €, honoraires : 4,89% TTC inclus à la charge de l’acquéreur (409 000 € hors honoraires)', 'Estimez votre mensualité', '219 m²', '193 m² de terrain', '7 pièces', '6 chambres', 'Jardin', 'Exposé Est', 'Chauffage : gaz individuel', 'Cave', '1 salle de bain', '2 WC', '3 étages', 'Réf. de l’annonce : VM23718-IMMOTRAM2', 'Publiée il y a plus de 1 mois', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
15,Publiée il y a plus de 1 mois | Modifiée le 28 nov. 2019 | Réf. de l’annonce : 120901E12603,Tourcoing 59200 (Centre-ville),146,C,28,D,1 197 €/m²,"['Prix\u202f: 253 800 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '212 m²', '15 m² de terrain', '5 pièces', '4 chambres', 'Jardin', 'Chauffage : individuel', '2 salles de bain', 'Réf. de l’annonce : 120901E12603', 'Publiée il y a plus de 1 mois', 'Modifiée le 28 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
16,Publiée il y a plus de 1 mois | Modifiée le 17 déc. 2019 | Réf. de l’annonce : 6995,Tourcoing 59200 (Centre-ville),160,D,24,D,1 214 €/m²,"['Prix\u202f: 269 000 €, honoraires : 5,49% TTC inclus à la charge de l’acquéreur (255 000 € hors honoraires)', 'Estimez votre mensualité', '210 m²', '6 pièces', '4 chambres', 'Chauffage : gaz', 'Cave', 'Cheminée', '1 salle de bain', '1 salle d’eau', '3 WC', '1 place de parking', 'Interphone', 'Mandat en exclusivité', 'Réf. de l’annonce : 6995', 'Publiée il y a plus de 1 mois', 'Modifiée le 17 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
17,Publiée il y a plus de 1 mois | Modifiée le 1 nov. 2019 | Réf. de l’annonce : 27062421,Tourcoing 59200,150,C,En cours de réalisation,NA,1 343 €/m²,"['Prix\u202f: 282 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '210 m²', '6 pièces', '5 chambres', '1 terrasse', 'Jardin de 96 m²', 'Chauffage : RADIATEUR GAZ INDIVIDUEL', '1 salle de bain', '1 WC', '1 parking extérieur', '1 box', 'Rez-de-chaussée', 'Construit en 2008', 'Réf. de l’annonce : 27062421', 'Publiée il y a plus de 1 mois', 'Modifiée le 1 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
18,Publiée le 6 déc. 2019 | Réf. de l’annonce : 3892551,Roubaix 59100 (Barbieux - Edouard Vaillant - Vauban),Non soumis,NA,En cours de réalisation,NA,1 854 €/m²,"['Prix\u202f: 380 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '205 m²', '340 m² de terrain', '7 pièces', '4 chambres', 'Jardin', 'Chauffage : gaz', '1 salle de bain', '1 salle d’eau', '3 places de parking', 'Mandat en exclusivité', 'Réf. de l’annonce : 3892551', 'Publiée le 6 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
19,Publiée il y a plus de 1 mois | Modifiée le 4 déc. 2019 | Réf. de l’annonce : 27354541,Tourcoing 59200 (Virolois),140,C,32,D,1 522 €/m²,"['Prix\u202f: 309 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '202,98 m²', '136 m² de terrain', '6 pièces', '5 chambres', '1 terrasse', '1 balcon', 'Jardin de 36 m²', 'Chauffage : RADIATEUR GAZ INDIVIDUEL', '1 cave', '1 salle de bain', '1 WC', '2 parkings intérieurs', 'Construit en 1930', 'Mandat en exclusivité', 'Réf. de l’annonce : 27354541', 'Publiée il y a plus de 1 mois', 'Modifiée le 4 déc. 2019', 'Signaler une anomalie sur cette annonce']"
