,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
246,196,D,45,E,-1257,18 dec  2019 ,18 nov  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1797.0,143775, honoraires à la charge du vendeur,, 3, 4 ,, 1 ,,,,, 80,
247,179,D,41,E,120901E10CQV,28 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1352.0,108000, honoraires à la charge du vendeur, collectif, 3, 4 ,, 1 ,,,,,88,
248,En cours de réalisation,NA,En cours de réalisation,NA,120901E1IBB5,,18 dec  2019 ,Tourcoing,Virolois ,59200 ,1488.0,118500, honoraires à la charge du vendeur, individuel, 3, 4 ,1.0, 1 ,,,,,62,10.0
249,NA,NA,NA,NA,,18 dec  2019,,Tourcoing,Centre-ville ,59200 ,,110500,,,, 1 à 4 ,,,,,,, 32 à 79,
250,189,D,22,D,SO1713,29 nov  2019 ,24 oct  2019 ,Roubaix,Pile ,59100 ,1162.0,92000, honoraires à la charge du vendeur, radiateur gaz individuel, 3, 4 ,1.0, 1 ,,,,,19,35.0
251,,A,En cours de réalisation,NA,42668,,5 dec  2019 ,Roubaix,,59100,2515.0,198692,,, 3, 4 ,, 1 ,,,,, 79,
252,Vierge,NA,En cours de réalisation,NA,VM23325-IMMOTRAM2,5 dec  2019 ,3 dec  2019 ,Tourcoing,,59200,1667.0,138500,  6, gaz individuel, 4, 5 ,1.0, 1 ,,,,, 78,72.0
253,211,D,49,E,120901E1GUCG,28 nov  2019 ,4 nov  2019 ,Tourcoing,Croix Rouge ,59200 ,1386.0,108000, honoraires à la charge du vendeur, individuel, 2, 3 ,,,,,,,94,
254,NA,NA,NA,NA,0063__62410,10 dec  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,,192010,,,, 3 à 4 ,,,,,,, 68 à 77,
255,228,D,53,E,VM23742-IMMOTRAM2,,13 dec  2019 ,Tourcoing,,59200,2597.0,212000,  6, gaz individuel, 3, 4 ,1.0, 1 ,,,,, 77,150.0
256,146,C,34,D,120906E1A4NZ,3 dec  2019 ,,Roubaix,Cul du Four ,59100 ,1682.0,129500, honoraires à la charge du vendeur, individuel, 2, 4 ,1.0, 1 ,,,,, 77,75.0
