,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
346,203,D,8,B,4509,14 dec  2019 ,14 dec  2019 ,Tourcoing,Centre-ville ,59200 ,2457.0,119000, honoraires à la charge du vendeur, électrique individuel, 1, 2 ,, 1 ,,1.0,,,44,
347,Vierge,NA,En cours de réalisation,NA,949,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1771.0,85000, honoraires à la charge du vendeur, radiateur gaz collectif, 1, 2 ,, 1 ,,1.0,,1.0, 48,
348,203,D,9,B,TAPP303636,,,Tourcoing,Virolois ,59200 ,1513.0,72550, honoraires à la charge du vendeur, Individuel, 1, 2 ,, 1 ,,,1.0,,95,
349,217,D,9,B,TAPP411892,,,Tourcoing,Virolois ,59200 ,1726.0,82500, honoraires à la charge du vendeur, Radiateur Electrique Individuel, 1, 2 ,, 1 ,,,1.0,,80,
350,214,D,9,B,TAPP412164,,,Tourcoing,Centre-ville ,59200 ,1755.0,82500, honoraires à la charge du vendeur, Electrique Individuel, 1, 2 ,, 1 ,,,,, 47,
351,181,D,6,B,342,29 nov  2019 ,25 oct  2019 ,Tourcoing,Blanche Porte - Flocon ,59200 ,2128.0,106000,  6, radiateur électrique individuel, 1, 2 ,, 1 ,1.0,,1.0,1.0, 47,
352,En cours de réalisation,NA,En cours de réalisation,NA,26000098,22 oct  2019 ,,Tourcoing,,59200,2110.0,99000, honoraires à la charge du vendeur, ELECTRICITE, 1, 2 ,, 1 ,,1.0,1.0,,92,
353,58,B,13,C,24736077,4 dec  2019 ,,Tourcoing,Virolois ,59200 ,2683.0,124700, honoraires à la charge du vendeur, RADIATEUR GAZ COLLECTIF, 1, 2 ,, 1 ,1.0,,1.0,1.0,47,
354,Non soumis,NA,En cours de réalisation,NA,city_green_lot_23_NEUF,13 dec  2019 ,3 dec  2019 ,Tourcoing,Malcense - Egalité ,59200 ,2522.0,116000,,, 1, 2 ,, 1 ,1.0,,1.0,, 46,
355,228,D,9,B,120901E1AUIC,13 dec  2019 ,,Roubaix,Centre-ville - Crouy ,59100 ,1817.0,81750, honoraires à la charge du vendeur, individuel, 1, 2 ,, 1 ,,,,, 45,
356,229,D,10,B,1099,10 dec  2019 ,26 oct  2019 ,Tourcoing,Centre-ville ,59200 ,2133.0,96000, honoraires à la charge du vendeur, électricité individuel, 1, 2 ,,,,,1.0,, 45,
357,158,D,37,E,988,18 dec  2019 ,14 dec  2019 ,Roubaix,Anseele - Motte Bossut ,59100 ,1477.0,72000,  10, Collectif Radiateur Gaz, 1, 2 ,, 1 ,,1.0,,, 44,
358,Vierge,NA,En cours de réalisation,NA,7696,,13 dec  2019 ,Tourcoing,Gambetta ,59200 ,2159.0,101000,  5, électricité, 1, 2 ,, 1 ,,,,, 44,
359,,D,En cours de réalisation,NA,Haut_vinage_T2_43m_DI,4 dec  2019 ,3 dec  2019 ,Tourcoing,Epidème ,59200 ,1156.0,49700,,, 1, 2 ,,,,,,, 43,
360,,D,En cours de réalisation,NA,HAUT_VINAGE_T2_-_ANCIEN_-_AC,6 dec  2019 ,3 dec  2019 ,Tourcoing,Epidème ,59200 ,1209.0,52000,,, 1, 2 ,, 1 ,,,,, 43,
361,188,D,6,B,25995443,27 nov  2019 ,,Tourcoing,Gambetta ,59200 ,2776.0,119350, honoraires à la charge du vendeur, CONVECTEURS ELECTRICITE INDIVIDUEL, 1, 2 ,, 1 ,1.0,,1.0,1.0, 43,
362,Vierge,NA,En cours de réalisation,NA,159,,17 dec  2019 ,Tourcoing,Centre-ville ,59200 ,3605.0,155000,  0 € TTC inclus à la charge de l’acquéreur,, 1, 2 ,,,,,1.0,, 43,
363,Non soumis,NA,En cours de réalisation,NA,VA23442-IMMOTRAM2,4 nov  2019 ,,Tourcoing,,59200,1667.0,75000,  7, gaz collectif, 1, 2 ,, 1 ,,1.0,,, 42,
364,242,E,33,D,1104,6 dec  2019 ,31 oct  2019 ,Tourcoing,Centre-ville ,59200 ,1786.0,75000, honoraires à la charge du vendeur, gaz, 1, 2 ,, 1 ,,1.0,,, 42,
365,250,E,12,C,1338955,6 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1952.0,82000, honoraires à la charge du vendeur,, 1, 2 ,, 1 ,,,,1.0, 42,
366,Non soumis,NA,En cours de réalisation,NA,1319328,,,Tourcoing,Centre-ville ,59200 ,2143.0,90000, honoraires à la charge du vendeur, électricité collectif, 1, 2 ,, 1 ,,,1.0,1.0, 42,
367,NA,NA,NA,NA,961,10 dec  2019 ,16 nov  2019 ,Tourcoing,Gambetta ,59200 ,4022.0,166000, honoraires à la charge du vendeur, Individuel Radiateur Gaz, 1, 2 ,, 1 ,1.0,,1.0,1.0,27,
368,Non soumis,NA,En cours de réalisation,NA,188645GTP,,,Tourcoing,Brun Pain - Francs - Clinquet ,59200 ,3488.0,139501, honoraires à la charge du vendeur,, 1, 2 ,,,1.0,,,1.0, 40,
369,Non soumis,NA,En cours de réalisation,NA,923,10 dec  2019 ,29 oct  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,5319.0,209037, honoraires à la charge du vendeur,,, 1 ,,,,,,1.0,30,
370,NA,NA,NA,NA,962,10 dec  2019 ,16 nov  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,4073.0,160000, honoraires à la charge du vendeur, Individuel Radiateur Gaz, 1, 2 ,, 1 ,,,1.0,,28,
371,,A,En cours de réalisation,NA,42580,,4 dec  2019 ,Tourcoing,Bourgogne ,59200 ,2846.0,110999,,, 1, 2 ,,,,,,, 39,
372,999,G,999,G,VM397-IMMOMETRO2,6 dec  2019 ,30 oct  2019 ,Roubaix,,59100,1829.0,70000,  9, électricité, 1, 2 ,,,,,,, 35,
373,120,C,22,D,26861373,14 dec  2019 ,,Tourcoing,Virolois ,59200 ,1926.0,67000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL,, 1 ,, 1 ,1.0,,1.0,1.0,78,
374,Non soumis,NA,En cours de réalisation,NA,VA23642-IMMOTRAM2,14 dec  2019 ,10 dec  2019 ,Roubaix,,59100,1324.0,49500,  10, électricité individuel,, 1 ,, 1 ,,,1.0,1.0, 34,
375,215,D,10,B,16769649,,,Tourcoing,,59200,2618.0,89000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 1, 2 ,, 1 ,,,1.0,1.0, 34,
376,197,D,9,B,25985351,8 nov  2019 ,,Roubaix,Anseele - Motte Bossut ,59100 ,2753.0,92500, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE COLLECTIF,, 1 ,, 1 ,,,1.0,1.0,60,
377,Non soumis,NA,En cours de réalisation,NA,1362923,3 dec  2019 ,21 oct  2019 ,Tourcoing,Gambetta ,59200 ,2152.0,71000, honoraires à la charge du vendeur, électricité individuel, 1, 2 ,, 1 ,1.0,,1.0,1.0, 33,
378,,D,En cours de réalisation,NA,RENAIX_T2_ancien_DI,,3 dec  2019 ,Tourcoing,Virolois ,59200 ,1341.0,42900,, gaz individuel, 1, 2 ,,,,,,, 32,
379,162,D,4,A,TAPP413649,29 nov  2019 ,,Roubaix,Centre-ville - Crouy ,59100 ,2267.0,68000, honoraires à la charge du vendeur, Radiateur Electrique Individuel,, 1 ,, 10 ,,,1.0,1.0, 30,
380,Vierge,NA,En cours de réalisation,NA,7501178334,17 dec  2019 ,,Roubaix,Hommelet ,59100 ,3667.0,77000, honoraires à la charge du vendeur, électricité,, 1 ,, 1 ,,,,, 21,
381,114,C,5,A,GB00069588,5 dec  2019 ,3 dec  2019 ,Roubaix,,59100,2528.0,45500, honoraires à la charge du vendeur,,, 1 ,,,,,,1.0, 18,
382,114,C,5,A,GB00045681,28 nov  2019 ,,Roubaix,,59100,2667.0,48000, honoraires à la charge du vendeur,,, 1 ,,,,,,1.0, 18,
383,114,C,50,E,1375686,17 dec  2019 ,9 dec  2019 ,Roubaix,Fresnoy - Mackellerie ,59100 ,3406.0,61300, honoraires à la charge du vendeur, électricité individuel,, 1 ,, 1 ,,,,, 18,
384,,D,En cours de réalisation,NA,Tourelles_T2_47_DI,,3 dec  2019 ,Roubaix,,59100,,48300,,, 1, 2 ,,,,,,,,
385,,D,En cours de réalisation,NA,Albert_Prouvost_T3_71_DI,,3 dec  2019 ,Roubaix,,59100,,71300,,, 2, 3 ,,,,,,,,
386,Non soumis,NA,En cours de réalisation,NA,-1214,18 dec  2019 ,,Roubaix,Centre-ville - Crouy ,59100 ,,164300, honoraires à la charge du vendeur,,, 1 ,,,,,,,,
